11:29:35     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:30:41     all    3.76    0.00    6.45    0.00    0.00    0.00    0.00    0.00    0.00   89.78
11:30:42     all   13.92    0.00   24.05    0.00    0.00    0.63    0.00    0.00    0.00   61.39
11:30:43     all   18.12    0.00   25.00    0.00    0.00    0.62    0.00    0.00    0.00   56.25
11:30:44     all   14.72    0.00   24.54    0.00    0.00    0.00    0.00    0.00    0.00   60.74
11:30:45     all    6.11    0.00    8.89    0.00    0.00    0.56    0.00    0.00    0.00   84.44
11:30:46     all    7.22    0.00   11.67    1.11    0.00    0.00    0.00    0.00    0.00   80.00
11:30:47     all   18.56    0.00   30.41    0.00    0.00    0.00    0.00    0.00    0.00   51.03
11:30:48     all   17.53    0.00   31.44    0.00    0.00    0.00    0.00    0.00    0.00   51.03
11:30:49     all   14.92    0.00   29.83    0.00    0.00    0.00    0.00    0.00    0.00   55.25
11:30:50     all    2.11    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   94.74
11:30:51     all   11.70    0.00   21.05    0.00    0.00    0.58    0.00    0.00    0.00   66.67
11:30:52     all    8.33    0.00   26.92    0.00    0.00    0.00    0.00    0.00    0.00   64.74
11:30:53     all    9.55    0.00   27.39    0.00    0.00    0.00    0.00    0.00    0.00   63.06
11:30:54     all   12.27    0.00   26.99    0.00    0.00    0.00    0.00    0.00    0.00   60.74
11:30:55     all    1.53    0.00    1.53    0.00    0.00    0.00    0.00    0.00    0.00   96.94
11:30:56     all   10.76    0.00   20.25    0.00    0.00    0.63    0.00    0.00    0.00   68.35
11:30:57     all   13.29    0.00   24.05    0.00    0.00    0.00    0.00    0.00    0.00   62.66
11:30:58     all   12.26    0.00   23.23    0.00    0.00    0.00    0.00    0.00    0.00   64.52
11:30:59     all   10.93    0.00   22.40    0.00    0.00    0.55    0.00    0.00    0.00   66.12
11:31:00     all    3.11    0.00    5.70    0.00    0.00    0.00    0.00    0.00    0.00   91.19
11:31:01     all   12.42    0.00   22.88    0.00    0.00    0.00    0.00    0.00    0.00   64.71
11:31:02     all   13.55    0.00   21.29    0.00    0.00    0.00    0.00    0.00    0.00   65.16
11:31:03     all   13.64    0.00   22.08    0.00    0.00    0.00    0.00    0.00    0.00   64.29
11:31:04     all    5.03    0.00    8.94    0.00    0.00    0.00    0.00    0.00    0.00   86.03
11:31:05     all    6.29    0.00   11.43    0.00    0.00    0.00    0.00    0.00    0.00   82.29
11:31:06     all   12.74    0.00   22.29    0.00    0.00    0.64    0.00    0.00    0.00   64.33
11:31:07     all   16.84    0.00   30.53    0.00    0.00    0.53    0.00    0.00    0.00   52.11
11:31:08     all   17.01    0.00   31.44    0.00    0.00    0.00    0.00    0.00    0.00   51.55
11:31:09     all    2.03    0.00    4.06    0.00    0.00    0.00    0.00    0.00    0.00   93.91
11:31:10     all   10.78    0.00   22.16    0.00    0.00    0.00    0.00    0.00    0.00   67.07
11:31:11     all   12.99    0.00   21.43    0.00    0.00    0.65    0.00    0.00    0.00   64.94
11:31:12     all   11.69    0.00   23.38    0.00    0.00    0.00    0.00    0.00    0.00   64.94
11:31:13     all    8.54    0.00   18.29    0.00    0.00    0.00    0.00    0.00    0.00   73.17
11:31:14     all    1.59    0.00    4.23    0.00    0.00    0.00    0.00    0.00    0.00   94.18
